Score,Avg,Highscore,Life
-500.0,134,0,0
-506.5,133,0,1
-500.5,139,1.0,2
-508.0,118,0,3
-500,149,0,4
-502,174,0,5
-500.0,173,0.5,6
-500.0,188,0,7
-502,160,0,8
-500,131,0,9
-500.5,191,1.5,10
-508,270,4,11
-503,172,0,12
-504.5,167,0,13
-500.0,191,0,14
-500,158,0,15
-502,251,0,16
-507,183,0,17
-500,194,0,18
-509,113,0,19
-502.0,94,3.0,20
-504,63,0,21
-505,73,0,22
-501,69,0,23
-504,81,0,24
-509,68,0,25
-508.0,70,0,26
-504.5,65,0,27
-500,68,0,28
-506,65,0,29
-506,101,0,30
-507,66,0,31
-507,66,0,32
-501,84,0,33
-508,67,0,34
-509,95,0,35
-501,60,0,36
-500,104,0,37
-506,209,0,38
-508.0,232,1.0,39
-503,251,0,40
-506,254,0,41
-500,311,0,42
-508,328,0,43
-500,320,0,44
-500,257,0,45
-509,284,0,46
-504,333,0,47
-504,279,0,48
-500.5,1484,225,49
-500.5,313,0,50
-500,401,0,51
-506,389,0,52
-507,1862,32,53
-500,2729,232,54
-500.5,598,45.5,55
-500,437,0,56
-500.0,422,1.0,57
-500,437,0,58
-500.5,730,76.5,59
-500,464,0,60
-508,436,0,61
-500,446,0,62
-500,446,0,63
-500.0,2078,0,64
-500,410,0,65
-500,473,0,66
-500,410,0,67
-500,401,0,68
-509,482,0,69
-502.0,451,16.0,70
-500.0,551,24.5,71
-503,395,0,72
-500,446,0,73
-500,437,0,74
-500.5,439,0.5,75
-500,428,0,76
-500,410,0,77
-506,83,0,78
-508.5,261,0,79
-500,203,0,80
-500.5,421,0,81
-501,447,0,82
-500.0,881,0,83
-502.5,483,0,84
-507,93,0,85
-502,187,0,86
-503,80,0,87
-503,53,0,88
-500,50,0,89
-506,92,0,90
-500,194,0,91
-509.5,52,0,92
-509,149,0,93
-501.0,54,0,94
-508,157,0,95
-509,95,0,96
-504,54,0,97
-502,52,0,98
-502,52,0,99
-505,55,0,100
-503,53,0,101
-503.0,56,0,102
-500,50,0,103
-500.0,53,0.5,104
-500,50,0,105
-501.0,54,1.0,106
-500.5,52,0,107
-509.0,53,0.5,108
-504,54,0,109
-503,53,0,110
-506,56,0,111
-504,54,0,112
-501,51,0,113
-502,52,0,114
-502,52,0,115
-509,95,0,116
-501.5,53,0,117
-504,54,0,118
-504,54,0,119
-502,52,0,120
-503.0,56,0,121
-502,52,0,122
-500,50,0,123
-508,53,0,124
-504,68,1,125
-504,54,0,126
-505,55,0,127
-502.5,90,0,128
-507,102,0,129
-504,54,0,130
-504,54,0,131
-506,56,0,132
-507,57,0,133
-503,53,0,134
-502,52,0,135
-509.5,55,0,136
-509,59,0,137
-504,54,0,138
-500,437,0,139
-500,1190,123,140
-508,418,0,141
500,580,500,142
