Score,Avg,Highscore,Life
-504,126,0,0
-509,122,0,1
-501.0,114,0,2
-500,113,0,3
-508.0,133,0,4
-506,128,0,5
-503.0,143,0.5,6
-505,122,0,7
-506,119,0,8
-501,145,0,9
-500,162,0,10
-508.5,162,0,11
-502,164,0,12
-501,170,0,13
-506,150,0,14
-500,163,0,15
-502,156,0,16
-508.5,158,0,17
-508.5,172,5.0,18
-506.5,173,0,19
-500,153,0,20
-502.0,194,0,21
-500.5,187,0,22
-506.0,190,2.5,23
-500,157,0,24
-500,143,0,25
-500,154,0,26
-508.0,178,0,27
-503.5,204,0,28
-502,152,0,29
-501,153,0,30
-501.0,155,0,31
-500.5,205,0,32
-502,164,0,33
-505,152,0,34
-505,161,0,35
-509,137,0,36
-501,147,0,37
-501,144,0,38
-501,137,0,39
-501.5,184,0,40
-505,155,0,41
-500.0,218,0.0,42
-501,160,0,43
-500,112,0,44
-500,148,0,45
-503,212,0,46
-500,194,0,47
-500,146,0,48
-500,230,0,49
-509,311,0,50
-503,152,0,51
-504,127,0,52
-505,174,0,53
-506,131,0,54
-501,129,0,55
-504,105,0,56
-500.5,138,0,57
-500.0,130,0,58
-501,108,0,59
-504,115,0,60
-502.5,106,0,61
-502,111,0,62
-503.0,111,0,63
-504,88,0,64
-500.5,120,0,65
-502,103,0,66
-505,101,0,67
-502,113,0,68
-508.5,107,0,69
-505,120,0,70
-504.0,108,0,71
-502,108,0,72
-504,115,0,73
-505,101,0,74
-500,108,0,75
-502,114,0,76
-500,73,0,77
-504.0,62,0.5,78
-507.0,64,0,79
-506,56,0,80
-501.0,54,0,81
-501,51,0,82
-505,55,0,83
-503,53,0,84
-508,67,0,85
-508.0,184,0,86
-504.5,56,0,87
-503,53,0,88
-501,51,0,89
-506,56,0,90
-502,52,0,91
-502,52,0,92
-503,53,0,93
-502,52,0,94
-503,107,0,95
-501,105,0,96
-503,89,0,97
-508,94,0,98
-505,136,0,99
-503,53,0,100
-500,59,0,101
-504,54,0,102
-500,95,0,103
-500.5,55,0,104
-505,127,0,105
-509.5,52,0,106
-502,52,0,107
-505,158,29,108
-500,68,0,109
-509.0,152,0,110
-503,89,0,111
-503,53,0,112
-500,50,0,113
-501,51,0,114
-501,51,0,115
-503,53,0,116
-503,53,0,117
-501,51,0,118
-501,51,0,119
-502,52,0,120
-507,57,0,121
-504,54,0,122
-500,50,0,123
-500,50,0,124
-509.5,52,0,125
-502,52,0,126
-504,54,0,127
-501,51,0,128
-500,50,0,129
-501,51,0,130
-504,54,0,131
-504,54,0,132
-501,51,0,133
-500.5,52,0.5,134
-506,56,0,135
-501,51,0,136
-502,52,0,137
-503,53,0,138
-502,52,0,139
-501,51,0,140
-501,51,0,141
-503,53,0,142
-501,51,0,143
-502,52,0,144
-503,53,0,145
-501,51,0,146
-500,50,0,147
-501,51,0,148
-505,55,0,149
-500,50,0,150
-501,51,0,151
-504,54,0,152
-504,54,0,153
-501,51,0,154
-503,53,0,155
-501,51,0,156
-502,52,0,157
-508,58,0,158
-500,56,3,159
-504,54,0,160
-502,52,0,161
-504,54,0,162
-509,52,0,163
-505,55,0,164
-501,51,0,165
-500,383,0,166
-500.5,1864,214.0,167
-508,481,0,168
-500,428,0,169
-500.0,1049,124.5,170
500,628,500,171
