Score,Avg,Highscore,Life
-500,131,0,0
-504.5,128,1.0,1
-505,113,0,2
-500,104,0,3
-500.0,170,0,4
-501,141,0,5
-502.5,192,0,6
-503.5,175,0,7
-502,151,0,8
-506.5,220,0,9
-504,162,0,10
-509,140,0,11
-500.5,217,0,12
-508,188,0,13
-500,176,0,14
-500.5,190,0,15
-508.0,154,0,16
-508.0,187,2.5,17
-505.5,222,1.0,18
-501,191,6,19
-500.5,283,0,20
-503.0,266,0,21
-500,203,0,22
-507,210,0,23
-500,194,0,24
-502,241,0,25
-507.5,245,0,26
-500.5,238,0,27
-502.5,393,0,28
-500,284,0,29
-506.0,443,0,30
-502.0,352,0,31
-507,273,0,32
-500.0,347,3.5,33
-500.0,593,0,34
-500,320,0,35
-500,320,0,36
-506,344,0,37
-500,329,0,38
-500.0,416,0,39
-504,342,0,40
-500,365,0,41
-500,383,0,42
-500,401,0,43
-500,401,0,44
-500,428,0,45
-500,419,0,46
-500,383,0,47
-508,382,0,48
-500,392,0,49
-500,428,0,50
-500.0,428,15.0,51
-500,410,0,52
500,1538,500,53
