Score,Avg,Highscore,Life
-509,144,0,0
-500.5,112,0,1
-505,118,0,2
-500,122,0,3
-507.5,101,0,4
-504.0,147,0,5
-500,113,0,6
-508.5,129,0,7
-506.5,109,0,8
-508.5,105,0,9
-507,99,0,10
-503,80,0,11
-502,158,0,12
-504.0,138,0,13
-507.0,172,0,14
-508.0,181,0,15
-503.5,193,3.0,16
-507.5,116,0,17
-500,122,0,18
-505.0,199,0,19
-507.5,137,0.5,20
-500.5,196,0,21
-505,181,0,22
-506,200,0,23
-500,194,0,24
-500.5,229,0.5,25
-500.5,432,2,26
-500,248,0,27
-500.0,260,0,28
-500,257,0,29
-500.0,242,1.0,30
-501.0,425,0,31
-500,284,0,32
-500,275,0,33
-500.5,265,0,34
-506.0,332,1.0,35
-505.5,528,6.5,36
-500.5,199,1.5,37
-500.0,116,0,38
-500,77,0,39
-508,58,0,40
-507,66,0,41
-508.5,108,0,42
-506.5,103,0.5,43
-500,59,0,44
-500.0,438,0,45
-500,356,0,46
-508,373,0,47
-500,374,0,48
-500,347,0,49
-500.0,347,0,50
-500,122,0,51
-503.5,338,0,52
-508,85,0,53
-504,54,0,54
-506,56,0,55
-500.5,199,0,56
-500,568,0,57
-500.0,359,0.5,58
-504.0,816,9.0,59
-500,410,0,60
-500.5,520,0,61
-500.5,394,0,62
-500.5,376,0,63
-503,371,0,64
-505,223,0,65
-500,248,0,66
-500.5,439,0,67
-500.5,415,0,68
-500.0,2672,286.0,69
-501,51,0,70
-504,72,0,71
-508,58,0,72
-504,54,0,73
-505,55,0,74
-506,56,0,75
-502.5,54,0,76
-502,52,0,77
-505,55,0,78
-503,53,0,79
-503,53,0,80
-502,52,0,81
-501,51,0,82
-501,51,0,83
-500,50,0,84
-501,51,0,85
-504,54,0,86
-500,50,0,87
-500,50,0,88
-500.0,53,0,89
-503,53,0,90
-504,54,0,91
-500.0,53,0,92
-504,54,0,93
-502.5,54,0,94
-502.5,54,0,95
-505,55,0,96
-500,50,0,97
-501,51,0,98
-502,52,0,99
-503,53,0,100
-503,53,0,101
-500.5,52,0.5,102
-501,51,0,103
-505,55,0,104
-507,57,0,105
-503,53,0,106
-503,53,0,107
-501,51,0,108
-506.5,58,0,109
-503,53,0,110
-508,76,0,111
-500,50,0,112
-506.5,421,0,113
-501,51,0,114
-500,203,0,115
-500,807,0,116
-500,455,0,117
-506.0,1118,0,118
-500.0,1079,0,119
-500,419,0,120
-500,563,61,121
-500,464,0,122
-500,455,0,123
-500,437,0,124
-500,464,0,125
500.0,2173,500.0,126
