Score,Avg,Highscore,Life
-506.5,159,1.0,0
-506.0,136,0,1
-508,148,0,2
-505,163,0,3
-502.0,147,0,4
-506,128,0,5
-500.5,159,0.5,6
-506.5,130,0,7
-500.5,154,0,8
-509,158,0,9
-500,158,0,10
-504,287,0,11
-504.5,182,2.5,12
-504,171,0,13
-500.5,190,0,14
-507.0,186,1.0,15
-507,170,2,16
-503.5,199,0,17
-507,165,0,18
-505,190,0,19
-500.5,269,5,20
-504.5,194,0,21
-509,212,0,22
-502,223,0,23
-503,380,12,24
-500.5,271,2.0,25
-505,244,0,26
-503.0,443,4.0,27
-500.5,394,1.5,28
-506.0,464,0,29
-508,310,0,30
-500,257,0,31
-508,301,0,32
-501,186,0,33
-509,59,0,34
-506,155,0,35
-508,121,0,36
-508,94,0,37
-508,94,0,38
-506,110,0,39
-500.0,92,0.5,40
-503,57,0,41
-500.0,92,3.0,42
-500,86,0,43
-503.5,55,0,44
-504,135,0,45
-507.0,84,0.5,46
-500,132,6,47
-505,64,0,48
-508.0,70,1.0,49
-502,115,0,50
-509,104,0,51
-500,212,0,52
-506,110,0,53
-505,154,0,54
-500,59,0,55
-502,88,0,56
-507,147,0,57
-508,76,0,58
-507,102,0,59
-504,54,0,60
-506,74,0,61
-508,76,0,62
-509,104,0,63
-502,124,0,64
-509,239,0,65
-507.5,350,0,66
-500,383,0,67
500,1407,500,68
