Score,Avg,Highscore,Life
-500,113,0,0
-508.5,135,0.0,1
-500.5,133,0,2
-500.5,166,0,3
-500,123,0,4
-503,107,0,5
-505.5,216,0,6
-504.0,151,0,7
-500,140,0,8
-507.5,236,0,9
-501.0,237,0,10
-500.0,248,0,11
-505,163,0,12
-500.0,191,0,13
-508,166,0,14
-505.5,211,1.5,15
-503,158,0,16
-502.0,203,0,17
-500,149,0,18
-500,164,0,19
-502.5,210,0,20
-501,170,0,21
-505.5,200,0,22
-504,143,0,23
-500,163,0,24
-502,151,2,25
-504.5,185,0,26
-502,145,0,27
-507.5,231,0,28
-500,162,0,29
-500,141,0,30
-504,156,0,31
-505.5,224,1.5,32
-504.5,184,0,33
-506,139,0,34
-504.5,186,1.5,35
-500,280,0,36
-500,248,0,37
-508,283,0,38
-508,301,0,39
-508,310,0,40
-500,383,0,41
-500,322,1,42
-500,320,0,43
-505,280,0,44
-505,279,0,45
-502,108,0,46
-501,101,0,47
-505,118,0,48
-500,214,0,49
-501,246,0,50
-500,208,0,51
-508.0,664,68.5,52
-508,103,0,53
-500.0,53,0.5,54
-501,60,0,55
-503,57,0,56
-505.0,67,0,57
-505,55,0,58
-508,58,0,59
-504.0,57,0.0,60
-505,55,0,61
-500,59,0,62
-500.5,362,0,63
-500,356,0,64
-504.0,333,6.0,65
-504,54,0,66
-500.5,85,14.5,67
-500.5,119,0,68
-507.5,56,1.0,69
-503,53,0,70
-506,56,0,71
-505,145,0,72
-505.0,106,0.0,73
-505,55,0,74
-508.0,58,0.0,75
-504,54,0,76
-500,59,0,77
-507,57,0,78
-509.5,55,0.0,79
-503,53,0,80
-504,54,0,81
-502,52,0,82
-502,56,0,83
-509,59,0,84
-509,59,0,85
-509,59,0,86
-505,55,0,87
-508.0,59,0,88
-500,104,0,89
-507,96,0,90
-503,98,0,91
-502,94,0,92
-503,89,0,93
-503,109,0,94
-505.5,102,0,95
-503.0,89,0,96
-503,98,0,97
-501.0,105,0,98
-500.0,103,0,99
-503.5,104,0,100
-500,87,0,101
-501,89,0,102
-500,90,0,103
-503,99,0,104
-500,91,0,105
-505,101,0,106
-501.5,107,0,107
-502.5,101,0,108
-505,97,0,109
-502,104,0,110
-502,94,0,111
-503,85,0,112
-505,86,0,113
-503,90,0,114
-502,94,0,115
-508.5,72,0,116
-505,55,0,117
-505,55,0,118
-500.5,58,0.0,119
-504,54,0,120
-502,52,0,121
-508,58,0,122
-508.0,59,0,123
-502,52,0,124
-508,58,0,125
-502,52,0,126
-501.0,60,0.0,127
-508.5,54,1.0,128
-501,100,0,129
-502.5,70,0,130
-505,55,0,131
-505,55,0,132
-505,55,0,133
-509,54,0,134
-509,59,0,135
-504,54,0,136
-500.5,55,0.5,137
-502,52,0,138
-504,54,0,139
-506,56,0,140
-501,51,0,141
-505,55,0,142
-500,50,0,143
-505,55,0,144
-505,55,0,145
-500.5,86,0,146
-504.5,91,0,147
-503,104,0,148
-507.5,72,0,149
-504,58,0,150
-509.5,56,0.5,151
-503,53,0,152
-500.0,56,0,153
-503,53,0,154
-504,67,0,155
-505,84,0,156
-506,112,0,157
-501,51,0,158
-500.0,212,18.5,159
-500,257,0,160
-500,392,0,161
-500.5,430,0,162
-500.5,580,0,163
-500.0,533,7.0,164
-500,421,0,165
-500,473,0,166
-500,1629,368,167
-500,455,0,168
-500,437,0,169
-500,464,0,170
-505,460,0,171
-500.5,670,0,172
-500,419,0,173
-500.0,440,0,174
-500,446,0,175
-500,419,0,176
-500,419,0,177
-500,446,0,178
-500,419,0,179
-500.5,622,0,180
-500,437,0,181
-500,419,0,182
-502,421,0,183
-500,446,0,184
-501.0,474,0,185
-500,446,0,186
-500,419,0,187
-500,464,0,188
-500,437,0,189
-501,420,0,190
-505.5,747,84.0,191
-500.0,458,0,192
-500,419,0,193
-500,428,0,194
-500,428,0,195
-500,419,0,196
-500.0,596,0,197
-500.5,976,0,198
-500,419,0,199
