Score,Avg,Highscore,Life
-506,-3.8333333333333335,0,0
-504,-1.826086956521739,0,1
-500,-1.2285012285012284,0,2
-500,-0.9523809523809523,0,3
-500,-0.7621951219512195,0,4
-502,-0.6220570012391574,0,5
-501,-0.5235109717868338,0,6
-301,-0.2853080568720379,0,7
-501,-0.4164588528678304,0,8
-501,-0.3630434782608696,0,9
-500,-0.32894736842105265,0,10
-505,-0.30005941770647654,0,11
-500,-0.2702702702702703,0,12
-509,-0.2546273136568284,0,13
-506,-0.23491179201485607,0,14
-503,-0.21643717728055079,0,15
-498,-0.19738406658739596,0,16
-500,-0.1840264998159735,0,17
-507,-0.17482758620689656,0,18
-508,-0.16472114137483787,0,19
-442,-0.1346329576606762,0,20
-509,-0.14639056658038538,0,21
-501,-0.136437908496732,0,22
-501,-0.1295577967416602,0,23
-505,-0.12447621395119546,0,24
-504,-0.11844888366627497,0,25
-478,-0.10731926358329591,0,26
-487,-0.10466365785514721,0,27
-460,-0.09480626545754328,0,28
-451,-0.08928924965353395,0,29
-415,-0.07904761904761905,0,30
-388,-0.0712057258212516,0,31
-442,-0.07825779036827195,0,32
-435,-0.07439712673165726,0,33
-391,-0.06467085676480318,0,34
-343,-0.05492393915132106,0,35
-307,-0.04764121663563004,0,36
-415,-0.062471774800541925,0,37
-390,-0.05700087693656825,0,38
-473,-0.06717795767646641,0,39
-385,-0.0531767955801105,0,40
-421,-0.05659362817583009,0,41
-500,-0.06567713122290818,0,42
-357,-0.0456989247311828,0,43
-325,-0.04056921732617651,0,44
-262,-0.031912302070645555,0,45
-289,-0.034367939112855274,0,46
-316,-0.03671003717472119,0,47
-334,-0.03792437833541501,0,48
-289,-0.032089717965800575,0,49
-352,-0.03824008690928843,0,50
-244,-0.025946405784772437,0,51
-253,-0.026345933562428408,0,52
-289,-0.029483778820648846,0,53
-226,-0.0225977402259774,0,54
-262,-0.025686274509803923,0,55
-307,-0.02952206942975286,0,56
-235,-0.02217399509341385,0,57
-271,-0.025099564693896452,0,58
-235,-0.021371407784648962,0,59
-271,-0.024207235372934347,0,60
-271,-0.02378444795506407,0,61
-280,-0.024152505822479083,0,62
-280,-0.023744911804613297,0,63
-253,-0.02109915770160954,0,64
-253,-0.020754716981132074,0,65
-235,-0.018968439744935024,0,66
-271,-0.021528439783921195,0,67
-253,-0.01978571987174474,0,68
-253,-0.01948251963653165,0,69
-262,-0.019871065604854,0,70
-253,-0.018903167961745366,0,71
-271,-0.01995140985054848,0,72
-235,-0.01705122623712088,0,73
-244,-0.01745225663400329,0,74
-217,-0.01530324400564175,0,75
-305,-0.02121148897698032,0,76
-262,-0.01797228700782,0,77
-259,-0.01752723827569872,0,78
-208,-0.013888888888888888,0,79
-226,-0.014892915980230643,0,80
-217,-0.014114739170027318,0,81
-235,-0.01509022025300199,0,82
-244,-0.015470453969059092,0,83
-226,-0.01415064804958988,0,84
-271,-0.01675943104514533,0,85
-235,-0.014356405400452073,0,86
-235,-0.014183969097054563,0,87
-208,-0.012405319973757977,0,88
-310,-0.018271837793233527,0,89
-199,-0.011593358578502768,0,90
-244,-0.014052061736926975,0,91
-226,-0.012867961054489552,0,92
-226,-0.01272379236572458,0,93
-217,-0.01208173264294861,0,94
-226,-0.012444933920704846,0,95
-349,-0.0190097499863827,0,96
-217,-0.011693070373962711,0,97
-237,-0.012635282827744308,0,98
-502,-0.02648238024899768,0,99
-501,-0.026200188264825855,0,100
-502,-0.02601979992743482,0,101
-500,-0.02569637167231987,0,102
-276,-0.014040799715114209,0,103
