Score,Avg,Highscore,Life
-506,123,0,0
-507,118,0,1
-505,127,0,2
-502,133,0,3
-500,122,0,4
-502,145,0,5
-500,111,0,6
-506,119,0,7
-507,192,0,8
-506,106,0,9
-508,156,3,10
-508,143,0,11
-500,149,0,12
-500,162,0,13
-500,145,0,14
-506,207,1,15
-506,251,0,16
-503,137,0,17
-505,205,0,18
-505,196,0,19
-506,177,0,20
-502,193,0,21
-500,201,0,22
-506,177,0,23
-500,189,0,24
-509,340,0,25
-508,197,0,26
-501,281,0,27
-500,185,0,28
-502,190,0,29
-500,210,0,30
-505,282,1,31
-503,224,0,32
-500,257,0,33
-500,293,0,34
-500,395,0,35
-509,289,0,36
-501,389,13,37
-505,269,0,38
-500,311,0,39
-501,256,0,40
-500,388,2,41
-500,720,0,42
-500,392,0,43
-500,455,0,44
-501,384,0,45
-500,311,0,46
-500,383,0,47
-500,374,0,48
-500,1176,27,49
-500,437,0,50
-500,428,0,51
-500,401,0,52
-506,407,0,53
-500,417,17,54
-500,446,0,55
-500,532,0,56
-500,464,0,57
-500,669,0,58
-505,277,21,59
-501,51,0,60
-501,51,0,61
-500,203,0,62
-500,50,0,63
-502,52,0,64
-500,50,0,65
-508,55,0,66
-502,52,0,67
-503,53,0,68
-501,51,0,69
-501,51,0,70
-501,51,0,71
-500,50,0,72
-500,52,0,73
-503,53,0,74
-502,52,0,75
-501,51,0,76
-500,50,0,77
-503,53,0,78
-501,51,0,79
-501,51,0,80
-501,51,0,81
-500,50,0,82
-502,52,0,83
-500,50,0,84
-502,52,0,85
-509,52,0,86
-503,53,0,87
-501,51,0,88
-501,51,0,89
-500,50,0,90
-501,51,0,91
-504,54,0,92
-502,52,0,93
-504,54,0,94
-503,53,0,95
-504,54,0,96
-502,54,0,97
-502,52,0,98
-509,52,0,99
-502,52,0,100
-502,52,0,101
-500,50,0,102
-500,52,0,103
-504,56,1,104
-500,50,0,105
-502,52,0,106
-503,53,0,107
-502,52,0,108
-500,50,0,109
-500,50,0,110
-501,51,0,111
-501,51,0,112
-501,51,0,113
-500,50,0,114
-500,50,0,115
-501,51,0,116
-501,51,0,117
-501,51,0,118
-502,52,0,119
-502,52,0,120
-501,51,0,121
-501,51,0,122
-502,52,0,123
-501,51,0,124
-500,50,0,125
-502,52,0,126
-501,51,0,127
-500,50,0,128
-504,54,0,129
-502,52,0,130
-503,53,0,131
-509,52,0,132
-501,51,0,133
-503,53,0,134
-506,56,0,135
-500,52,0,136
-501,51,0,137
-506,55,1,138
-504,54,0,139
-500,50,0,140
-501,51,0,141
-500,50,0,142
-500,50,0,143
-503,53,0,144
-502,52,0,145
-501,51,0,146
-504,54,0,147
-500,50,0,148
-500,52,0,149
-505,55,0,150
-501,51,0,151
-500,59,0,152
-504,173,82,153
-506,56,0,154
-508,53,0,155
-501,51,0,156
-505,55,0,157
-501,53,0,158
-504,54,0,159
-502,52,0,160
-502,52,0,161
-502,52,0,162
-501,51,0,163
-502,52,0,164
-503,53,0,165
-502,52,0,166
-503,53,0,167
-503,53,0,168
-502,52,0,169
-503,53,0,170
-501,51,0,171
-501,51,0,172
-501,51,0,173
-502,52,0,174
-502,52,0,175
-503,53,0,176
-508,191,122,177
-502,52,0,178
-500,86,0,179
-502,61,0,180
-502,54,1,181
-504,54,0,182
-507,57,0,183
-500,52,0,184
-502,52,0,185
-503,53,0,186
-502,52,0,187
-503,55,1,188
-505,55,0,189
-501,60,0,190
-504,56,1,191
-501,920,118,192
-500,176,0,193
-502,52,0,194
-506,146,0,195
-506,56,0,196
-503,80,0,197
-500,410,0,198
-500,419,0,199
