Score,Avg,Highscore,Life
-507,168,0,0
-500,122,0,1
-502,171,0,2
-503,169,3,3
-502,147,0,4
-509,149,0,5
-502,137,0,6
-506,137,0,7
-504,147,0,8
-501,165,0,9
-503,151,0,10
-502,183,1,11
-502,171,0,12
-500,185,0,13
-502,216,0,14
-500,269,0,15
-509,213,0,16
-500,223,0,17
-507,165,0,18
-508,211,0,19
-500,257,3,20
-502,169,0,21
-502,374,0,22
-500,212,0,23
-502,454,0,24
-500,257,0,25
-500,239,0,26
-500,335,5,27
-501,222,0,28
-508,281,0,29
-500,443,0,30
-500,474,8,31
-508,350,0,32
-500,320,0,33
-501,235,0,34
-500,157,0,35
-500,214,0,36
-509,280,0,37
-500,197,0,38
-502,230,0,39
-502,190,0,40
-500,177,0,41
-502,199,0,42
-501,184,0,43
-500,178,0,44
-503,177,0,45
-502,187,0,46
-509,183,0,47
-500,187,0,48
-500,180,0,49
-500,164,0,50
-500,197,0,51
-502,193,0,52
-500,185,0,53
-507,177,0,54
-502,166,0,55
-500,189,0,56
-503,225,0,57
-501,255,0,58
-500,341,0,59
-500,698,33,60
-500,1117,43,61
-500,790,120,62
-500,455,0,63
-507,426,0,64
-500,473,0,65
500,2434,500,66
