Score,Avg,Highscore,Life
-500,112,0,0
-509,134,0,1
-505,156,0,2
-500,129,5,3
-500,159,0,4
-504,108,0,5
-509,156,0,6
-506,227,0,7
-500,131,0,8
-509,158,0,9
-500,214,26,10
-501,164,0,11
-508,175,3,12
-500,178,0,13
-501,96,0,14
-504,167,3,15
-507,195,0,16
-507,174,0,17
-505,238,0,18
-508,164,0,19
-500,147,0,20
-507,165,0,21
-501,69,0,22
-506,112,0,23
-502,160,0,24
-500,118,4,25
-500,158,0,26
-500,104,0,27
-500,189,0,28
-507,247,0,29
-500,380,0,30
-505,207,0,31
-502,309,0,32
-501,201,0,33
-500,257,0,34
-503,224,0,35
-501,338,0,36
-500,260,0,37
-509,292,0,38
-500,320,0,39
-505,207,0,40
-508,259,14,41
-500,191,0,42
-500,195,0,43
-507,322,0,44
-500,478,28,45
-502,278,0,46
-503,157,20,47
-507,128,0,48
-507,381,0,49
-507,254,0,50
-500,383,0,51
-500,378,0,52
-500,840,0,53
-500,392,0,54
-500,401,0,55
-501,330,0,56
-500,229,0,57
-500,189,0,58
-502,198,0,59
-500,165,0,60
-501,192,0,61
-500,188,5,62
-502,185,0,63
-500,166,0,64
-501,234,0,65
-508,150,0,66
-502,97,0,67
-500,52,0,68
-509,59,0,69
-507,71,16,70
-500,50,0,71
-504,59,7,72
-507,111,0,73
-500,94,28,74
-500,50,0,75
-506,290,0,76
-501,51,0,77
-501,164,0,78
-508,194,93,79
-503,53,0,80
-502,52,0,81
-500,149,0,82
-500,107,41,83
-509,59,0,84
-506,92,0,85
-506,56,0,86
-501,51,0,87
-500,131,0,88
-500,692,0,89
-500,375,0,90
-500,473,0,91
-500,2033,148,92
-500,410,0,93
-508,373,0,94
-500,462,24,95
-500,446,0,96
500,2119,500,97
