Score,Avg,Highscore,Life
-500,131,3,0
-500,139,0,1
-507,145,0,2
-501,128,2,3
-502,124,0,4
-507,102,0,5
-501,97,0,6
-500,107,0,7
-502,126,0,8
-502,115,0,9
-502,132,0,10
-501,189,0,11
-502,115,0,12
-500,115,0,13
-507,126,0,14
-503,98,0,15
-502,304,0,16
-503,132,0,17
-502,225,0,18
-501,173,0,19
-503,166,0,20
-500,180,0,21
-509,197,0,22
-504,177,0,23
-500,191,0,24
-501,187,0,25
-503,287,9,26
-502,164,0,27
-502,175,0,28
-509,183,0,29
-507,193,0,30
-504,292,0,31
-508,289,0,32
-500,189,0,33
-501,232,0,34
-502,191,0,35
-508,167,0,36
-502,202,0,37
-503,191,0,38
-501,196,0,39
-500,190,0,40
-500,284,0,41
-506,1007,18,42
-508,310,0,43
-507,194,0,44
-509,68,0,45
-500,485,10,46
-500,338,0,47
-508,130,0,48
-506,55,0,49
-502,123,0,50
-500,689,71,51
-506,116,0,52
-509,171,0,53
-500,122,0,54
-508,207,0,55
-505,339,0,56
-500,113,0,57
-503,53,0,58
-503,53,0,59
-506,74,0,60
-501,51,0,61
-506,164,0,62
-508,103,0,63
-502,52,0,64
-500,50,0,65
-508,58,0,66
-507,93,0,67
-501,51,0,68
-504,83,0,69
-508,157,0,70
-502,52,0,71
-501,51,0,72
-501,51,0,73
-504,54,0,74
-504,54,0,75
-503,53,0,76
-502,124,0,77
-501,51,0,78
-502,196,0,79
-503,53,0,80
-501,51,0,81
-504,108,0,82
-500,50,0,83
-504,94,0,84
-502,52,0,85
-502,52,0,86
-500,52,0,87
-503,53,0,88
-501,51,0,89
-502,52,0,90
-502,52,0,91
-502,52,0,92
-502,52,0,93
-502,52,0,94
-508,53,0,95
-501,51,0,96
-502,52,0,97
-505,55,0,98
-503,53,0,99
-507,54,0,100
-502,52,0,101
-501,51,0,102
-500,52,0,103
-501,51,0,104
-509,52,0,105
-500,50,0,106
-500,50,0,107
-500,50,0,108
-503,53,0,109
-501,51,0,110
-501,51,0,111
-503,53,0,112
-500,50,0,113
-509,52,0,114
-502,52,0,115
-501,51,0,116
-502,52,0,117
-504,54,0,118
-509,52,0,119
-500,50,0,120
-502,52,0,121
-500,50,0,122
-500,50,0,123
-500,50,0,124
-503,53,0,125
-502,52,0,126
-500,52,0,127
-508,53,0,128
-502,52,0,129
-502,52,0,130
-508,53,0,131
-500,50,0,132
-501,51,0,133
-502,52,0,134
-502,52,0,135
-504,54,0,136
-502,52,0,137
-500,50,0,138
-500,50,0,139
-501,51,0,140
-509,52,0,141
-501,51,0,142
-501,51,0,143
-502,52,0,144
-501,51,0,145
-502,52,0,146
-501,51,0,147
-500,50,0,148
-502,52,0,149
-501,51,0,150
-509,52,1,151
-507,54,0,152
-503,53,0,153
-502,52,0,154
-501,51,0,155
-502,52,0,156
-503,53,0,157
-500,50,0,158
-501,51,0,159
-500,50,0,160
-502,52,0,161
-501,51,0,162
-502,52,0,163
-508,53,0,164
-501,51,0,165
-500,50,0,166
-502,52,0,167
-505,55,0,168
-503,53,0,169
-502,52,0,170
-503,53,0,171
-502,52,0,172
-501,51,0,173
-500,52,0,174
-501,51,0,175
-501,51,0,176
-500,50,0,177
-502,52,0,178
-501,51,0,179
-503,53,0,180
-501,51,0,181
-501,51,0,182
-503,53,0,183
-501,51,0,184
-501,51,0,185
-502,52,0,186
-503,53,0,187
-504,63,0,188
-502,52,0,189
-501,51,0,190
-502,52,0,191
-500,50,0,192
-508,148,0,193
-501,51,0,194
-500,52,0,195
-503,97,3,196
-501,51,0,197
-502,52,0,198
-502,97,0,199
