Score,Avg,Highscore,Life
-500,137,0,0
-500,123,0,1
-507,127,0,2
-500,131,0,3
-501,123,0,4
-501,105,0,5
-500,100,0,6
-509,153,0,7
-500,104,0,8
-505,127,0,9
-504,99,0,10
-506,164,0,11
-500,142,0,12
-504,153,0,13
-500,158,0,14
-505,257,0,15
-507,165,0,16
-506,166,0,17
-504,205,0,18
-507,111,0,19
-505,127,0,20
-507,184,1,21
-503,143,0,22
-500,207,7,23
-500,116,0,24
-501,115,0,25
-500,95,0,26
-500,131,0,27
-505,154,0,28
-500,158,0,29
-507,226,0,30
-502,303,3,31
-500,288,0,32
-502,241,0,33
-500,248,0,34
-508,324,0,35
-500,541,25,36
-501,294,0,37
500,3839,500,38
