Score,Avg,Highscore,Life
-500,146,0,0
-506,119,0,1
-500,176,0,2
-501,147,0,3
-507,179,0,4
-508,148,0,5
-500,154,0,6
-500,149,0,7
-501,175,0,8
-503,165,0,9
-503,193,0,10
-507,302,0,11
-500,194,0,12
-508,309,0,13
-507,216,0,14
-503,170,1,15
-505,163,0,16
-504,159,0,17
-500,280,0,18
-500,194,0,19
-500,192,0,20
-501,385,0,21
-502,214,0,22
-501,247,0,23
-502,221,0,24
-500,322,14,25
-500,239,0,26
-500,360,0,27
-500,312,0,28
-500,266,0,29
-500,297,0,30
-500,439,0,31
-501,294,0,32
-500,447,0,33
-503,350,0,34
-500,730,20,35
-500,338,0,36
-500,367,0,37
-500,1019,262,38
-501,405,0,39
-500,1097,253,40
-504,378,0,41
-500,437,0,42
500,568,500,43
