Score,Avg,Highscore,Life
-502,144,0,0
-507,139,0,1
-505,134,0,2
-500,95,0,3
-509,127,0,4
-507,142,0,5
-500,140,0,6
-500,129,0,7
-503,107,0,8
-506,128,0,9
-502,153,0,10
-507,174,0,11
-505,237,3,12
-503,150,0,13
-508,172,3,14
-500,168,0,15
-505,213,0,16
-506,166,0,17
-503,185,0,18
-500,179,0,19
-505,218,0,20
-504,194,0,21
-502,203,0,22
-502,237,0,23
-502,196,0,24
-509,230,0,25
-500,239,0,26
-500,195,0,27
-502,190,0,28
-500,186,0,29
-500,316,0,30
-501,244,0,31
-500,267,0,32
-507,257,3,33
-504,315,0,34
-500,343,0,35
-501,271,0,36
-508,274,0,37
-505,260,0,38
-503,254,0,39
-503,292,0,40
-503,308,0,41
-500,284,0,42
-502,213,0,43
-502,366,0,44
-501,216,0,45
-500,314,0,46
-500,424,1,47
-500,311,0,48
-500,714,54,49
-500,189,0,50
-500,424,0,51
-500,490,0,52
-500,392,0,53
-500,401,0,54
-500,568,51,55
-500,1253,176,56
-500,446,0,57
-500,419,0,58
-506,407,0,59
-500,1955,462,60
-500,437,0,61
-500,1020,301,62
-500,446,0,63
-500,455,0,64
-500,2135,250,65
-500,1444,264,66
-500,464,0,67
-500,464,0,68
-500,1533,263,69
-500,428,0,70
-500,2043,481,71
-500,419,0,72
-503,449,0,73
500,2865,500,74
