Score,Avg,Highscore,Life
-507,151,0,0
-502,120,0,1
-508,162,0,2
-508,126,0,3
-509,158,0,4
-508,181,0,5
-508,167,0,6
-501,127,0,7
-501,139,0,8
-505,177,0,9
-504,124,0,10
-504,156,0,11
-507,170,0,12
-500,175,0,13
-503,170,2,14
-504,143,0,15
-509,157,0,16
-507,140,0,17
-500,194,0,18
-504,170,0,19
-503,179,0,20
-505,214,0,21
-500,171,0,22
-504,257,0,23
-500,342,10,24
-500,266,0,25
-500,185,0,26
-504,279,0,27
-507,243,0,28
-506,469,6,29
-500,191,0,30
-505,215,0,31
-500,162,0,32
-503,497,0,33
-500,197,0,34
-506,212,0,35
-501,171,0,36
-500,225,0,37
-503,314,0,38
-500,311,0,39
-502,347,0,40
-500,220,0,41
-500,320,0,42
-500,347,0,43
-509,392,0,44
-503,386,0,45
-500,688,90,46
-500,365,0,47
-500,356,0,48
500,1297,500,49
