Score,Avg,Highscore,Life
-506,137,0,0
-500.5,150,5,1
-502,124,0,2
-505.5,124,0,3
-506.0,140,0,4
-503.0,179,0,5
-503.5,151,0,6
-500.0,173,0,7
-506,146,0,8
-504,154,0,9
-504.0,183,0.5,10
-502,142,0,11
-502.0,157,0,12
-504,201,0,13
-500.5,172,0,14
-505.0,202,0,15
-500.0,253,0,16
-505,199,0,17
-506,240,0,18
-506.5,211,0,19
-500,185,0,20
-500,195,0,21
-501,231,0,22
-501,240,0,23
-503.0,308,0,24
-509.0,302,3.5,25
-500,329,0,26
-506.0,428,0,27
-501.5,251,0.5,28
-500,275,0,29
-504.0,282,0,30
-500,275,0,31
-508.0,370,0,32
-502.5,279,0,33
-500.0,347,0,34
-501.5,560,3.5,35
-500,374,0,36
-503.0,407,0,37
-501,330,0,38
-504.5,524,0,39
-500,392,0,40
-500,374,0,41
-500.5,421,0.5,42
-500,365,0,43
-500.0,698,26.5,44
-500,365,0,45
-500,2487,144,46
500,588,500,47
