Score,Avg,Highscore,Life
-506.5,154,0,0
-508,130,0,1
-500.5,137,0,2
-507,141,0,3
-503,144,0,4
-508,136,1,5
-502.0,134,0,6
-501.5,178,0,7
-509,130,0,8
-500.5,190,0,9
-502.5,273,1.0,10
-507,165,0,11
-500,167,0,12
-500.5,187,0,13
-506.5,159,0,14
-505,144,0,15
-500,147,0,16
-500.5,149,0,17
-502,185,0,18
-509,138,0,19
-503,157,0,20
-503,191,0,21
-506.0,163,0,22
-500.5,233,0,23
-509,168,0,24
-507,152,0,25
-500,148,0,26
-500,147,0,27
-502,172,0,28
-500.0,219,0,29
-500.0,287,0,30
-500,239,0,31
-507,248,0,32
-500.0,299,0,33
-503.0,479,0,34
-500,284,0,35
-500,329,0,36
-504.5,521,0,37
-500,302,0,38
-500,302,0,39
-500,356,0,40
-500,320,0,41
-500.0,537,18.0,42
-505,253,0,43
-500.0,905,0,44
-500,520,0,45
-508.0,892,0,46
-503,395,0,47
-500,2159,391,48
-500.0,1397,97.5,49
-500,410,0,50
-500,428,0,51
-500,437,0,52
-500,437,0,53
-500.5,493,0,54
-500.0,596,0,55
-500,419,0,56
-502,341,0,57
-507,327,0,58
-501,257,0,59
-505,86,0,60
-504,95,0,61
-504,94,0,62
-500.5,509,0,63
-500,428,0,64
-500,446,0,65
-500.5,3198,422,66
-500.5,403,0.5,67
-500,446,0,68
-500.0,443,11.0,69
-509,455,0,70
-500,437,0,71
-500,831,74,72
-505,415,0,73
-500,437,0,74
-507,453,0,75
-500.0,530,0,76
-500,437,0,77
-500,446,0,78
-500,1000,77,79
-500,437,0,80
-500.0,1001,0,81
-508,445,0,82
-500,410,0,83
-500,957,69,84
-500.5,805,0,85
-500,437,0,86
-500,419,0,87
-505.5,444,0,88
-500,428,0,89
-500.5,347,0.5,90
-502,133,0,91
-500,118,0,92
-500.0,521,29.0,93
-500,410,0,94
-500,437,0,95
-500,464,0,96
-500,428,0,97
-500,464,0,98
-500,455,0,99
-506,407,0,100
-500,279,0,101
-504,96,0,102
-500,90,0,103
-500,126,0,104
-500,94,0,105
-503,98,0,106
-506,423,0,107
-500,446,0,108
-500,473,0,109
-507,1410,117,110
-500,446,0,111
-500,410,0,112
-500,455,0,113
-500.5,586,25.0,114
-500,392,0,115
-500.5,583,0,116
-500,576,0,117
-500,410,0,118
-500.0,1043,0,119
-501.5,701,0,120
-500.0,575,0,121
-500.5,781,54.0,122
-500,419,0,123
-500,392,0,124
-500,437,0,125
-500,464,0,126
-504.0,771,61.0,127
-500,410,0,128
-508.0,868,93.0,129
-500.5,448,0,130
500,1247,500,131
