Score,Avg,Highscore,Life
-503,116,0,0
-506.5,133,0,1
-501.5,125,0,2
-500,113,0,3
-503.0,164,0,4
-506,110,0,5
-500.5,121,4.5,6
-508,157,0,7
-502.5,215,3.5,8
-502.5,183,0,9
-500,149,0,10
-500,185,0,11
-500.0,188,0,12
-506,182,0,13
-500,179,2,14
-505,172,0,15
-509,194,0,16
-500,185,0,17
-507.0,228,0,18
-504.5,254,0,19
-500,212,0,20
-500,176,0,21
-507,276,0,22
-501.5,230,0,23
-509.0,362,0,24
-505,235,0,25
-500,244,0,26
-503,287,0,27
-500,360,0,28
-504.5,248,0,29
-506,281,0,30
-500.0,332,9.5,31
-500,248,0,32
-508,283,0,33
-500.0,458,12.5,34
-500,528,13,35
-500.5,487,0,36
-504,306,0,37
-500,374,0,38
-500,329,0,39
-507,390,0,40
-500,428,0,41
-508,391,0,42
-500.0,238,3.0,43
-502,164,29,44
-500,109,0,45
-504,100,0,46
-505.5,101,0,47
-505.5,113,0,48
-504,107,0,49
-504,660,0,50
-503,109,0,51
-507,140,0,52
-500.0,698,0,53
-500,321,0,54
-505,91,0,55
-500.5,657,0,56
-500,428,0,57
-500,446,0,58
-500,437,0,59
-500,401,0,60
-500,2371,296,61
-500,401,0,62
-508,427,0,63
-500.0,806,55.0,64
-500,419,0,65
-500,455,0,66
-500,428,0,67
500,2776,500,68
