Score,Avg,Highscore,Life
-500,131,0,0
-506.0,134,0,1
-502.5,147,0.5,2
-502,151,0,3
-503.0,158,1.0,4
-504.0,135,0.0,5
-507.5,146,0,6
-505,162,0,7
-506.0,185,0,8
-500,149,0,9
-502,169,0,10
-502.5,219,0,11
-502.5,176,1,12
-507.0,193,0,13
-506,146,0,14
-504.5,256,0,15
-507.0,198,0,16
-500,195,0,17
-500,205,0,18
-503.5,312,0,19
-503,188,0,20
-505,232,0,21
-506,284,0,22
-507.5,365,0,23
-500.5,274,0,24
-503.0,283,1.0,25
-504.5,317,0,26
-500,231,0,27
-507.5,467,0,28
-501.5,164,0,29
-504.0,201,0,30
-502,126,0,31
-505,135,0,32
-500,207,0,33
-500,246,0,34
-504.5,299,0,35
-506,317,0,36
-504.5,551,0,37
-500,338,0,38
-503,583,12,39
-501.0,144,0,40
-504,158,0,41
-501,99,0,42
-503.0,185,2.0,43
-507.0,123,0,44
-503,108,0,45
-500.5,176,0,46
-500.5,137,0,47
-503,107,0,48
-502.0,125,0,49
-500,219,0,50
-506.5,364,0.5,51
-500,383,0,52
-504,423,0,53
-500,419,0,54
-500,2574,201,55
-500,392,0,56
-500.0,476,16.0,57
-509.5,520,0,58
-500,428,0,59
-504.0,534,0,60
-506.0,929,0,61
-500.5,982,0,62
-500,446,0,63
-500,446,0,64
-500,446,0,65
-500,600,77,66
-500,419,0,67
-500,437,0,68
-500.0,623,0,69
-500.5,457,0.5,70
-500,437,0,71
-500,428,0,72
-500,428,0,73
-500.5,550,0,74
-500.5,694,32.0,75
-500,401,0,76
-500,419,0,77
-500,428,0,78
-500,410,0,79
-500,464,0,80
-500,428,0,81
-500,428,0,82
-500.5,604,0,83
-500,455,0,84
-500,455,0,85
-500,410,0,86
-500,446,0,87
-500.5,580,0,88
-500.0,548,0,89
-500,973,236,90
-500,482,0,91
-500.5,451,0.5,92
-500,540,0,93
-500.5,496,0,94
-508,454,0,95
-509,642,104,96
-500,428,0,97
-500,455,0,98
-500,428,0,99
-500,464,0,100
-500.0,1499,302.0,101
-506.0,734,0,102
-500,464,0,103
-500,455,0,104
-500.0,1793,89.5,105
-500.0,605,0,106
-500,446,0,107
-506,407,0,108
-500.5,565,43.5,109
-500,455,0,110
-500.5,736,0,111
-500,446,0,112
-500,455,0,113
-502,457,0,114
-500,437,0,115
-500.5,472,14.5,116
-500.0,1142,0,117
-500.0,452,0,118
-500,446,0,119
-500.0,545,0,120
-500.5,856,128.0,121
-509.0,902,0,122
-500,818,0,123
-500.5,523,16.5,124
-504,387,0,125
-500,446,0,126
-500.5,883,2.0,127
-500,419,0,128
-500,473,0,129
-500.5,484,0,130
-500,428,0,131
-500,455,0,132
-500,428,0,133
-500,428,0,134
-500.5,1159,54,135
-500.0,1015,33,136
-500,437,0,137
-500,437,0,138
-500.0,1082,181.0,139
-500,419,0,140
-500,428,0,141
-500,437,0,142
-504,477,0,143
-509.0,587,0,144
-500.0,2042,0,145
-500.0,776,63.0,146
-500.0,689,0,147
-500,464,0,148
-500,455,0,149
-500.0,752,0,150
-500.0,590,0,151
-500,473,0,152
-500,401,0,153
-500,428,0,154
-506.5,1057,0,155
-500,464,0,156
-500.5,886,1.5,157
-500,437,0,158
-500,455,0,159
-500,428,0,160
-500,428,0,161
-500,383,0,162
500,599,500,163
