Score,Avg,Highscore,Life
-507,120,0,0
-507.5,134,0,1
-500.5,145,0,2
-504.0,159,0.0,3
-504,177,0,4
-503.0,146,0,5
-503,127,0,6
-500.5,205,0,7
-506,110,0,8
-502,106,0,9
-508.0,235,0,10
-503.5,191,0,11
-500.5,163,0,12
-508.0,193,0,13
-500.5,196,0,14
-504,171,0,15
-505.5,213,0,16
-507.5,197,0,17
-505.5,150,0,18
-502,178,0,19
-502.0,262,1.0,20
-500.0,302,3.5,21
-500,212,0,22
-500,221,0,23
-509,221,0,24
-500,230,0,25
-504.0,276,0,26
-507.0,222,1.5,27
-500.5,364,0,28
-500,248,0,29
-507,237,0,30
-507,237,0,31
-504,459,59,32
-500.5,415,5.0,33
-501,328,12,34
-500.5,358,0,35
-500.0,692,3.5,36
-500,347,0,37
-500,311,0,38
-502,421,0,39
-500.5,367,0,40
-500,536,5,41
-501,339,0,42
-504,243,0,43
-501,108,0,44
-500.0,126,0,45
-501,108,0,46
-505,105,0,47
-502,94,0,48
-505,98,0,49
-500.0,91,0,50
-507,101,0,51
-501.0,109,1.5,52
-504,91,0,53
-504,96,0,54
-503,99,0,55
-503,110,0,56
-500,96,0,57
-503,96,0,58
-500,247,0,59
-500,437,0,60
-500,455,0,61
-500.5,541,0,62
-505,357,0,63
-503.5,99,0,64
-500,204,0,65
-500,464,0,66
-500,419,0,67
-500.5,427,0,68
-500,455,0,69
-500,446,0,70
-500,446,0,71
-500,419,0,72
-500,428,0,73
-500,455,0,74
-500,903,219,75
-500,482,0,76
-506.5,436,0,77
-508.0,1384,0,78
-500,410,0,79
-500,419,0,80
-507.0,1575,141.0,81
-500.5,859,0,82
-505,451,0,83
-507,444,0,84
-500,455,0,85
-507.5,1001,0,86
-507,417,0,87
-500,437,0,88
-507,390,0,89
-500.0,743,0,90
-500,392,0,91
-500,365,0,92
-507,381,0,93
-500.0,554,0,94
-500,428,0,95
-500,428,0,96
-500,437,0,97
-500,419,0,98
-502.5,570,0,99
-500,401,0,100
-500,410,0,101
-500,437,0,102
-500,446,0,103
-500,419,0,104
-500.5,1918,58.0,105
500,588,500,106
