Score,Avg,Highscore,Life
-508.0,151,0,0
-507.5,122,0,1
-503,134,0,2
-507.0,129,0,3
-506.5,157,2.0,4
-502.5,129,0,5
-500,131,0,6
-500,167,0,7
-507,156,0,8
-509,167,0,9
-502,160,0,10
-509,158,0,11
-507,165,0,12
-503.0,224,0,13
-507,200,4,14
-507.5,197,0,15
-505,145,0,16
-509.5,253,0,17
-504.0,165,0,18
-500,176,0,19
-501,291,0,20
-503.5,199,1.5,21
-502,205,0,22
-504,198,0,23
-503.5,316,0,24
-500,248,0,25
-500.5,310,0,26
-506.5,388,0.5,27
-501,249,0,28
-502,268,0,29
-504,261,0,30
-507.5,539,0,31
-500,293,0,32
-500,284,0,33
-500.0,320,0.5,34
-509,302,0,35
-500.5,409,0,36
-500,320,0,37
-500.0,556,22,38
-500.5,565,0,39
-509,374,0,40
-500.0,764,7.0,41
-500.5,646,11.0,42
-500,392,0,43
-505,388,0,44
-500,401,0,45
-500.5,646,0,46
-500.0,1085,24.5,47
-500,446,0,48
-500,446,0,49
-500.0,1958,255.0,50
-500.5,655,0,51
-500.0,605,0,52
-500.0,656,61.0,53
-500,446,0,54
-500,446,0,55
-500,437,0,56
-500,437,0,57
-500.5,1408,0,58
-500,437,0,59
-500,392,0,60
-505.0,537,0,61
-505,86,0,62
-505.5,107,0,63
-502,99,0,64
-502,96,0,65
-505,100,0,66
-501,93,0,67
-503.5,107,0,68
-504,94,0,69
-502.0,118,0,70
-504.5,91,0,71
-502,107,0,72
-503.0,834,0,73
-509,455,0,74
-500.5,475,6.5,75
-500.5,448,0,76
-500,473,0,77
-509,437,0,78
-500.0,1481,51.0,79
-505.5,453,0,80
-500,973,254,81
-500.0,1376,0,82
-500,464,0,83
-500,437,0,84
-500,419,0,85
-500,446,0,86
-500,464,0,87
-500,464,0,88
-502.5,1806,0,89
-500,473,0,90
-500,437,0,91
-500,446,0,92
-500,446,0,93
-500,419,0,94
-500.5,670,0,95
-500.5,448,0,96
-505,424,0,97
-500.5,736,0,98
-500,437,0,99
-500.5,1726,172.0,100
-500,1173,384,101
-500,473,0,102
-500,437,0,103
-500.0,1745,72.0,104
-500.5,553,24.0,105
-500.0,710,24.5,106
-500,446,0,107
-500,446,0,108
-500,464,0,109
-500,392,0,110
-500,410,0,111
-500,410,0,112
-500,437,0,113
-500,446,0,114
-500,428,0,115
-500.0,2627,212.5,116
-500.0,1088,0,117
-500.5,562,0,118
-508.5,513,0,119
-500.5,2415,325,120
-500.5,1147,0,121
-500.0,536,33.0,122
-500.5,901,0,123
-500,455,0,124
-500,383,0,125
-500,614,119,126
-500.0,527,0,127
-507.5,1508,100.5,128
-500,410,0,129
-500,446,0,130
-500.0,1334,84.0,131
-500,455,0,132
-500,437,0,133
-500,532,70,134
-500,428,0,135
-505,379,0,136
-500.5,436,0,137
-500.5,1753,25.5,138
-500,419,0,139
-500,455,0,140
-504,432,0,141
-500.5,439,0.5,142
-500,419,0,143
-500.0,845,0,144
-508,463,0,145
-500,843,0,146
-500,410,0,147
-500,446,0,148
-500.5,2014,33,149
-500,836,0,150
-500,410,0,151
-500,455,0,152
-500,455,0,153
-500,464,0,154
-500,446,0,155
-508,454,0,156
-500.5,595,47.5,157
-500,428,0,158
-500.5,2590,75.0,159
-500,428,0,160
-500,410,0,161
-500,428,0,162
-500,437,0,163
-500,419,0,164
-500,419,0,165
-500,410,0,166
-500,464,0,167
500,658,500,168
