Score,Avg,Highscore,Life
-500.0,156,0,0
-503.5,124,0,1
-504.5,134,0.5,2
-500,131,0,3
-500,167,0,4
-503.0,162,0,5
-500,140,0,6
-507,158,0,7
-501,163,4,8
-505,163,0,9
-500.5,178,0,10
-500.5,241,0.5,11
-504.0,247,0,12
-508.0,211,0,13
-502.0,239,0,14
-505.5,234,0,15
-501.0,192,0,16
-500,252,0,17
-504.0,261,6,18
-500.5,211,0,19
-500.0,338,2.0,20
-508.5,258,0,21
-504,216,0,22
-500.0,359,0,23
-502.0,280,1.5,24
-500.0,341,0,25
-503.5,313,0,26
-509.5,568,0,27
-501.5,356,0,28
-500.0,296,0,29
-504.0,372,11.5,30
-504.0,414,2.5,31
-500,320,0,32
-500,347,0,33
-500,329,0,34
-500,2147,193,35
-506,362,0,36
-500,365,0,37
-503.0,407,0.5,38
-500,410,0,39
-500,419,0,40
-500.0,980,0,41
-500,437,0,42
-500.5,448,0.5,43
-500,437,0,44
-508,436,0,45
-500.5,439,0.5,46
-500,861,150,47
-507,435,0,48
-500,437,0,49
-500,446,0,50
-500.5,466,0.5,51
-500,428,0,52
-504,311,0,53
-503,100,0,54
-502,94,0,55
-505,95,0,56
-501.5,101,0,57
-507,89,0,58
-501,87,0,59
-504,94,0,60
-502,94,0,61
-505,93,0,62
-500,91,0,63
-503,100,0,64
-501,107,0,65
-503.5,105,0,66
-504,84,0,67
-504,84,0,68
-502,87,0,69
-501,93,0,70
-502,94,0,71
-500,401,0,72
-500,446,0,73
-500,473,0,74
-509,446,0,75
-500.0,710,0,76
-500,419,0,77
-501,456,0,78
-507,408,0,79
-503,422,0,80
-500.5,1285,0,81
-500,1492,180,82
-500,455,0,83
-500,437,0,84
-500,437,0,85
-506,434,0,86
500,603,500,87
